Video,Threshold,Bins,Min Scene Length,Num Scenes Generated,Ground Truth Frame Values,Detected Frame Values,True Positives,False Positives,False Negatives,False Positive Frame Numbers,False Negative Frame Numbers,Precision,Recall,F1 Score,Processing Time (s)
A.mp4,0.05,1024,10,16,"0, 405, 451, 519, 569, 659, 702, 728, 967, 978, 1178, 1295, 1398, 1481, 1621, 1630","0, 405, 451, 519, 569, 654, 702, 728, 956, 966, 1175, 1294, 1397, 1476, 1606, 1621",16,0,0,,,1.00,1.00,1.00,3.54
B.mp4,0.05,1024,10,24,"0, 306, 417, 553, 657, 733, 843, 910, 1001, 1013, 1268, 1394, 1673, 1838, 1852","0, 306, 358, 415, 553, 584, 608, 632, 656, 675, 733, 752, 800, 824, 843, 904, 995, 1005, 1265, 1352, 1376, 1391, 1835, 1845",14,10,1,"358, 584, 608, 656, 675, 752, 800, 843, 1352, 1391",1673,0.58,0.93,0.72,3.47
C.mp4,0.05,1024,10,10,"0, 376, 922, 931, 1108, 1175, 1265, 1621, 1631, 1681","0, 376, 914, 924, 1103, 1169, 1260, 1614, 1624, 1681",10,0,0,,,1.00,1.00,1.00,5.55
D.mp4,0.05,1024,10,13,"0, 352, 460, 545, 651, 731, 931, 942, 1145, 1398, 1542, 1720, 1732, 1780","0, 352, 451, 545, 651, 731, 925, 935, 1145, 1393, 1538, 1715, 1725",13,0,1,,1780,1.00,0.93,0.96,3.43
E.mp4,0.05,1024,10,20,"0, 56, 85, 144, 413, 657, 803, 901, 947, 1016, 1028, 1212, 1347, 1563, 1710, 1799, 1811","0, 56, 85, 144, 413, 559, 572, 657, 803, 901, 947, 1011, 1021, 1208, 1343, 1562, 1707, 1724, 1794, 1804",17,3,0,"559, 572, 1724",,0.85,1.00,0.92,3.98
F.mp4,0.05,1024,10,16,"0, 83, 95, 358, 515, 574, 664, 709, 798, 1036, 1049, 1222, 1413, 1604, 1738, 1750","0, 84, 358, 391, 515, 574, 664, 709, 798, 1032, 1042, 1218, 1408, 1601, 1733, 1743",15,1,1,391,95,0.94,0.94,0.94,3.85
G.mp4,0.05,1024,10,10,"0, 318, 458, 559, 608, 781, 876, 888, 1262, 1396, 1536, 1744, 1903, 1999","0, 318, 458, 559, 608, 781, 881, 1391, 1738, 1897",10,0,4,,"888, 1262, 1536, 1999",1.00,0.71,0.83,3.79
H.mp4,0.05,1024,10,18,"0, 35, 134, 183, 338, 542, 610, 692, 746, 814, 878, 887, 1037, 1207, 1391, 1399, 1484, 1511","0, 35, 133, 183, 338, 369, 542, 603, 692, 745, 865, 878, 1029, 1378, 1391, 1484, 1495, 1511",16,2,2,"369, 1511","814, 1207",0.89,0.89,0.89,3.62
I.mp4,0.05,1024,10,12,"0, 25, 48, 311, 488, 622, 686, 748, 763, 1093, 1107","0, 25, 48, 311, 424, 457, 488, 622, 634, 752, 1088, 1098",9,3,2,"424, 457, 634","686, 763",0.75,0.82,0.78,3.57
J.mp4,0.05,1024,10,21,"0, 21, 34, 311, 457, 557, 615, 829, 904, 992, 1005, 1176, 1405, 1611, 1756, 1768, 1823, 1920","0, 17, 27, 311, 347, 457, 474, 557, 615, 829, 904, 987, 997, 1173, 1192, 1403, 1607, 1750, 1760, 1823, 1920",18,3,0,"347, 474, 1192",,0.86,1.00,0.92,3.60
