Video File Name,Total Detected Frames,Detected Frames,Ground Truth Frames,TP,FP,FN,Precision,Recall,F1 Score,FP Frames,FN Frames,Processing Time
A.mp4,11,"0, 405, 451, 519, 569, 658, 702, 728, 1175, 1295, 1396","0, 405, 451, 519, 569, 659, 702, 728, 967, 978, 1178, 1295, 1398, 1481, 1621, 1630",11,0,5,1.00,0.69,0.81,,"967, 978, 1481, 1621, 1630",25.53
B.mp4,11,"0, 306, 417, 553, 657, 733, 843, 908, 1267, 1392, 1671","0, 306, 417, 553, 657, 733, 843, 910, 1001, 1013, 1268, 1394, 1673, 1838, 1852",11,0,4,1.00,0.73,0.85,,"1001, 1013, 1838, 1852",28.11
C.mp4,5,"0, 376, 1106, 1263, 1681","0, 376, 922, 931, 1108, 1175, 1265, 1621, 1631, 1681",5,0,5,1.00,0.50,0.67,,"922, 931, 1175, 1621, 1631",27.14
D.mp4,9,"0, 352, 460, 545, 651, 731, 1396, 1540, 1780","0, 352, 460, 545, 651, 731, 931, 942, 1145, 1398, 1542, 1720, 1732, 1780",9,0,5,1.00,0.64,0.78,,"931, 942, 1145, 1720, 1732",26.64
E.mp4,12,"0, 56, 85, 144, 413, 657, 803, 901, 947, 1210, 1345, 1562","0, 56, 85, 144, 413, 657, 803, 901, 947, 1016, 1028, 1212, 1347, 1563, 1710, 1799, 1811",12,0,5,1.00,0.71,0.83,,"1016, 1028, 1710, 1799, 1811",27.25
F.mp4,10,"0, 358, 515, 574, 664, 709, 798, 1220, 1411, 1602","0, 83, 95, 358, 515, 574, 664, 709, 798, 1036, 1049, 1222, 1413, 1604, 1738, 1750",10,0,6,1.00,0.62,0.77,,"83, 95, 1036, 1049, 1738, 1750",26.75
G.mp4,11,"0, 318, 458, 559, 608, 781, 1256, 1529, 1738, 1901, 1990","0, 318, 458, 559, 608, 781, 876, 888, 1262, 1396, 1536, 1744, 1903, 1999",11,0,3,1.00,0.79,0.88,,"876, 888, 1396",26.17
H.mp4,16,"0, 35, 134, 183, 338, 542, 607, 692, 746, 814, 885, 1033, 1204, 1397, 1484, 1511","0, 35, 134, 183, 338, 542, 610, 692, 746, 814, 878, 887, 1037, 1207, 1391, 1399, 1484, 1511",16,0,2,1.00,0.89,0.94,,"887, 1399",27.58
I.mp4,6,"0, 25, 48, 311, 488, 622","0, 25, 48, 311, 488, 622, 686, 748, 763, 1093, 1107",6,0,5,1.00,0.55,0.71,,"686, 748, 763, 1093, 1107",25.83
J.mp4,12,"0, 311, 457, 557, 615, 829, 904, 1175, 1403, 1609, 1823, 1920","0, 21, 34, 311, 457, 557, 615, 829, 904, 992, 1005, 1176, 1405, 1611, 1756, 1768, 1823, 1920",12,0,6,1.00,0.67,0.80,,"21, 34, 992, 1005, 1756, 1768",27.54
